Rank_Values,LowerBand,Avg_values,UpperBand
10,0.001634,0.008281,0.014927
15,0.002953,0.009465,0.015977
20,0.001534,0.009782,0.01803
25,0.000896,0.009262,0.017629
30,0.000846,0.00918,0.017514
35,0.004353,0.010435,0.016516
40,0.005519,0.011947,0.018375
45,0.006044,0.01237,0.018697
50,0.005874,0.011982,0.01809
55,0.006024,0.012414,0.018804
60,0.005869,0.011166,0.016463
65,0.006125,0.011174,0.016224
70,0.007699,0.011005,0.014311
75,0.00715,0.011093,0.015035
80,0.006722,0.012482,0.018242
