Rank_Values,LowerBand,Avg_values,UpperBand
10,0.002318,0.008849,0.015379
15,0.002537,0.01062,0.018703
20,0.00298,0.011008,0.019036
25,0.002696,0.010388,0.01808
30,0.002402,0.010631,0.01886
35,0.004475,0.010457,0.016439
40,0.006288,0.013373,0.020459
45,0.006449,0.014483,0.022517
50,0.00648,0.012772,0.019063
55,0.006966,0.012223,0.01748
60,0.007022,0.013173,0.019324
65,0.006761,0.010571,0.01438
70,0.008025,0.011357,0.014689
75,0.007861,0.011793,0.015726
80,0.007937,0.011757,0.015577
