Rank_Values,LowerBand,Avg_values,UpperBand
10,0.005998,0.01754,0.029082
15,0.009074,0.016327,0.02358
20,0.010274,0.018204,0.026135
25,0.008733,0.016859,0.024985
30,0.011649,0.020168,0.028687
35,0.01291,0.018561,0.024213
40,0.013425,0.019655,0.025885
45,0.01596,0.022612,0.029264
50,0.013418,0.021261,0.029104
55,0.012004,0.020149,0.028294
60,0.010681,0.017953,0.025225
65,0.011087,0.018835,0.026583
70,0.012861,0.020358,0.027856
75,0.012437,0.020418,0.028399
80,0.012248,0.019852,0.027455
